,City,Country,Max Temp,Humidity,Cloudiness,Wind Speed,Latitude,Longitude,Date
244,presidencia roque saenz pena,AR,66.21,64,32,10.47,-26.79,-60.44,2018-09-11 05:26:25.000000+00:00 (UTC)
245,puerto narino,CO,75.2,100,0,3.36,-3.77,-70.38,2018-09-11 04:00:00.000000+00:00 (UTC)
246,ayr,GB,55.4,76,75,19.46,55.46,-4.63,2018-09-11 04:50:00.000000+00:00 (UTC)
247,ancud,CL,49.65,98,88,7.56,-41.87,-73.83,2018-09-11 05:26:27.000000+00:00 (UTC)
248,cocobeach,GA,75.2,94,75,4.7,1.01,9.58,2018-09-11 04:30:00.000000+00:00 (UTC)
249,anzoategui,CO,58.47,96,20,1.41,4.63,-75.1,2018-09-11 05:26:28.000000+00:00 (UTC)
250,homer,US,51.08,85,1,4.7,59.64,-151.54,2018-09-11 04:53:00.000000+00:00 (UTC)
251,frunze,UA,60.63,100,80,8.79,46.83,29.88,2018-09-11 05:26:29.000000+00:00 (UTC)
252,muroto,JP,80.6,65,75,10.29,33.37,134.14,2018-09-11 04:00:00.000000+00:00 (UTC)
253,broome,GB,61.7,82,0,16.11,52.47,1.45,2018-09-11 04:56:00.000000+00:00 (UTC)
254,tezu,IN,64.68,100,92,1.41,27.93,96.16,2018-09-11 05:26:31.000000+00:00 (UTC)
255,nanortalik,GL,40.11,97,92,19.86,60.14,-45.24,2018-09-11 05:22:27.000000+00:00 (UTC)
256,el sauzal,AR,64.4,55,0,4.7,-24.3,-64.96,2018-09-11 04:00:00.000000+00:00 (UTC)
257,maumere,ID,87.09,85,0,9.8,-8.63,122.22,2018-09-11 05:26:32.000000+00:00 (UTC)
258,sumenep,ID,83.76,87,0,10.58,-7.02,113.87,2018-09-11 05:26:32.000000+00:00 (UTC)
259,port lincoln,AU,55.86,100,76,25.46,-34.72,135.86,2018-09-11 05:22:05.000000+00:00 (UTC)
260,korem,ET,74.49,40,0,2.19,12.51,39.52,2018-09-11 05:26:33.000000+00:00 (UTC)
261,jalu,LY,76.38,47,0,7.23,29.03,21.55,2018-09-11 05:26:33.000000+00:00 (UTC)
262,mattru,SL,72.78,100,92,2.53,7.62,-11.83,2018-09-11 05:26:34.000000+00:00 (UTC)
263,lathrop,US,77.0,47,1,6.93,37.82,-121.28,2018-09-11 04:55:00.000000+00:00 (UTC)
264,fort nelson,CA,46.4,81,75,2.24,58.81,-122.69,2018-09-11 05:00:00.000000+00:00 (UTC)
265,lucapa,AO,69.54,92,8,2.98,-8.42,20.74,2018-09-11 05:26:35.000000+00:00 (UTC)
266,caucaia,BR,78.8,83,40,16.11,-3.73,-38.66,2018-09-11 05:00:00.000000+00:00 (UTC)
267,kralendijk,BQ,82.4,83,0,12.75,12.15,-68.27,2018-09-11 04:55:00.000000+00:00 (UTC)
268,provideniya,RU,50.0,93,90,8.95,64.42,-173.23,2018-09-11 04:30:00.000000+00:00 (UTC)
269,nizwa,OM,83.31,56,0,3.76,22.93,57.53,2018-09-11 05:26:37.000000+00:00 (UTC)
270,dunedin,NZ,48.21,77,0,8.46,-45.87,170.5,2018-09-11 05:26:15.000000+00:00 (UTC)
271,grenfell,AU,68.55,65,0,10.8,-33.9,148.16,2018-09-11 05:26:37.000000+00:00 (UTC)
272,fortuna,ES,73.4,69,20,3.36,38.18,-1.13,2018-09-11 05:00:00.000000+00:00 (UTC)
273,rio grande,BR,56.49,97,0,11.48,-32.03,-52.1,2018-09-11 05:22:52.000000+00:00 (UTC)
274,nyrob,RU,49.2,95,64,9.01,60.74,56.73,2018-09-11 05:26:39.000000+00:00 (UTC)
275,erzin,TR,71.6,73,0,4.7,36.95,36.2,2018-09-11 04:50:00.000000+00:00 (UTC)
276,monywa,MM,82.59,82,64,9.8,22.12,95.13,2018-09-11 05:26:41.000000+00:00 (UTC)
277,pierre,US,69.08,86,1,12.75,44.37,-100.35,2018-09-11 04:53:00.000000+00:00 (UTC)
278,acopiara,BR,74.4,50,56,1.07,-6.09,-39.45,2018-09-11 05:26:42.000000+00:00 (UTC)
279,pangnirtung,CA,35.16,100,88,19.75,66.15,-65.72,2018-09-11 05:26:42.000000+00:00 (UTC)
280,kokoda,PG,64.59,98,92,1.63,-8.88,147.74,2018-09-11 05:26:43.000000+00:00 (UTC)
281,berberati,CF,69.8,94,20,11.41,4.26,15.79,2018-09-11 05:00:00.000000+00:00 (UTC)
282,turbat,PK,81.42,69,0,4.65,26.0,63.05,2018-09-11 05:26:44.000000+00:00 (UTC)
283,manokwari,ID,81.96,100,12,3.53,-0.87,134.08,2018-09-11 05:26:44.000000+00:00 (UTC)
284,cairns,AU,82.4,45,40,19.46,-16.92,145.77,2018-09-11 05:00:00.000000+00:00 (UTC)
285,padang,ID,82.41,100,44,5.66,-0.92,100.36,2018-09-11 05:22:20.000000+00:00 (UTC)
286,comodoro rivadavia,AR,57.2,35,0,9.17,-45.87,-67.48,2018-09-11 04:00:00.000000+00:00 (UTC)
287,brae,GB,53.6,87,40,3.36,60.4,-1.35,2018-09-11 04:50:00.000000+00:00 (UTC)
288,itoman,JP,87.8,72,20,10.29,26.12,127.67,2018-09-11 04:56:00.000000+00:00 (UTC)
289,codrington,AU,64.68,79,56,3.76,-28.95,153.24,2018-09-11 05:26:47.000000+00:00 (UTC)
290,karibib,NA,48.57,74,0,2.98,-21.94,15.86,2018-09-11 05:26:48.000000+00:00 (UTC)
291,vestmanna,FO,48.2,100,88,4.7,62.16,-7.17,2018-09-11 04:50:00.000000+00:00 (UTC)
292,muros,ES,55.4,100,0,5.44,42.77,-9.06,2018-09-11 05:00:00.000000+00:00 (UTC)
293,huilong,CN,79.53,45,36,2.98,28.89,110.18,2018-09-11 05:26:49.000000+00:00 (UTC)
294,pevek,RU,53.43,83,80,15.5,69.7,170.27,2018-09-11 05:23:56.000000+00:00 (UTC)
295,benito juarez,MX,84.93,62,36,4.21,28.64,-111.57,2018-09-11 05:26:49.000000+00:00 (UTC)
296,kencong,ID,90.78,44,12,8.34,-7.78,112.24,2018-09-11 05:26:51.000000+00:00 (UTC)
297,houma,CN,77.28,44,44,4.21,35.63,111.36,2018-09-11 05:26:51.000000+00:00 (UTC)
298,vestmannaeyjar,IS,44.52,100,44,7.45,63.44,-20.27,2018-09-11 05:26:52.000000+00:00 (UTC)
299,menongue,AO,57.66,23,0,5.1,-14.66,17.68,2018-09-11 05:23:20.000000+00:00 (UTC)
300,buchanan,LR,75.2,94,75,3.65,5.88,-10.05,2018-09-11 05:00:00.000000+00:00 (UTC)
301,bonnyville,CA,46.4,100,90,4.21,54.27,-110.74,2018-09-11 05:00:00.000000+00:00 (UTC)
302,casablanca,MA,66.2,100,75,3.36,33.6,-7.62,2018-09-11 05:00:00.000000+00:00 (UTC)
303,ippy,CF,68.91,100,64,4.54,6.26,21.2,2018-09-11 05:26:54.000000+00:00 (UTC)
304,carauari,BR,75.03,94,8,2.53,-4.88,-66.9,2018-09-11 05:26:54.000000+00:00 (UTC)
305,katherine,AU,95.0,5,0,8.05,-14.47,132.26,2018-09-11 05:00:00.000000+00:00 (UTC)
306,mto wa mbu,TZ,63.33,100,68,6.44,-3.38,35.86,2018-09-11 05:26:55.000000+00:00 (UTC)
307,erenhot,CN,71.43,30,0,24.34,43.65,111.97,2018-09-11 05:26:56.000000+00:00 (UTC)
308,gizo,IL,78.8,69,20,3.36,31.8,34.94,2018-09-11 04:50:00.000000+00:00 (UTC)
309,felipe carrillo puerto,MX,75.3,97,92,6.67,19.58,-88.05,2018-09-11 05:26:57.000000+00:00 (UTC)
310,san cristobal,EC,50.0,71,75,10.29,-0.39,-78.55,2018-09-11 05:00:00.000000+00:00 (UTC)
311,bereda,ES,53.6,100,90,2.19,43.27,-7.54,2018-09-11 05:00:00.000000+00:00 (UTC)
312,aykhal,RU,43.44,69,0,8.23,65.95,111.51,2018-09-11 05:26:59.000000+00:00 (UTC)
313,hoquiam,US,59.0,96,90,4.7,46.98,-123.89,2018-09-11 04:57:00.000000+00:00 (UTC)
314,raduzhnyy,RU,41.01,84,0,12.26,62.1,77.47,2018-09-11 05:27:00.000000+00:00 (UTC)
315,atasu,KZ,54.24,65,56,11.7,48.68,71.64,2018-09-11 05:27:00.000000+00:00 (UTC)
316,gouyave,GD,78.8,88,20,11.81,12.16,-61.73,2018-09-11 05:00:00.000000+00:00 (UTC)
317,teknaf,BD,82.59,86,64,3.31,20.86,92.31,2018-09-11 05:27:02.000000+00:00 (UTC)
318,hasaki,JP,75.2,69,75,18.34,35.73,140.83,2018-09-11 04:30:00.000000+00:00 (UTC)
319,sobolevo,RU,60.63,78,88,6.11,54.43,31.9,2018-09-11 05:27:02.000000+00:00 (UTC)
320,careiro da varzea,BR,78.8,78,0,2.24,-3.2,-59.81,2018-09-11 05:00:00.000000+00:00 (UTC)
321,fort-shevchenko,KZ,73.41,64,80,9.8,44.51,50.26,2018-09-11 05:23:52.000000+00:00 (UTC)
322,faanui,PF,79.26,100,8,10.92,-16.48,-151.75,2018-09-11 05:27:04.000000+00:00 (UTC)
323,aldama,MX,78.36,100,80,4.43,22.92,-98.09,2018-09-11 05:27:05.000000+00:00 (UTC)
324,caconda,AO,52.08,34,0,6.33,-13.73,15.06,2018-09-11 05:27:05.000000+00:00 (UTC)
325,udachnyy,RU,45.51,60,8,5.1,66.42,112.4,2018-09-11 05:27:06.000000+00:00 (UTC)
326,katobu,ID,89.52,63,44,5.66,-4.94,122.53,2018-09-11 05:23:34.000000+00:00 (UTC)
327,ostrovnoy,RU,50.91,85,8,13.71,68.05,39.51,2018-09-11 05:27:07.000000+00:00 (UTC)
328,ziro,IN,75.2,100,90,4.7,27.54,93.82,2018-09-11 04:30:00.000000+00:00 (UTC)
329,soderhamn,SE,52.62,96,80,7.0,61.3,17.06,2018-09-11 05:27:08.000000+00:00 (UTC)
330,winneba,GH,77.0,94,90,6.93,5.35,-0.62,2018-09-11 05:00:00.000000+00:00 (UTC)
331,mount gambier,AU,64.23,52,92,15.28,-37.83,140.78,2018-09-11 05:27:08.000000+00:00 (UTC)
332,ust-tsilma,RU,50.82,86,0,5.99,65.44,52.15,2018-09-11 05:27:09.000000+00:00 (UTC)
333,matay,EG,78.63,56,0,8.79,28.42,30.79,2018-09-11 05:27:10.000000+00:00 (UTC)
334,fukue,JP,82.4,54,75,2.24,35.03,136.69,2018-09-11 04:46:00.000000+00:00 (UTC)
335,raudeberg,NO,53.6,87,75,14.99,61.99,5.14,2018-09-11 04:50:00.000000+00:00 (UTC)
336,puquio,PE,28.59,66,0,4.76,-14.69,-74.12,2018-09-11 05:27:11.000000+00:00 (UTC)
337,derzhavinsk,KZ,56.31,53,0,6.22,51.1,66.31,2018-09-11 05:27:12.000000+00:00 (UTC)
338,akure,NG,72.06,97,88,3.65,7.25,5.19,2018-09-11 05:27:12.000000+00:00 (UTC)
339,kalmunai,LK,86.64,81,0,3.2,7.42,81.82,2018-09-11 05:27:13.000000+00:00 (UTC)
340,monrovia,LR,75.2,94,75,3.76,6.33,-10.8,2018-09-11 05:00:00.000000+00:00 (UTC)
341,tahlequah,US,64.94,93,1,4.21,35.92,-94.97,2018-09-11 04:56:00.000000+00:00 (UTC)
342,marquette,US,57.02,91,1,5.82,46.54,-87.4,2018-09-11 05:18:00.000000+00:00 (UTC)
343,sanawad,IN,81.69,84,36,9.8,22.17,76.08,2018-09-11 05:27:15.000000+00:00 (UTC)
344,coahuayana,MX,67.83,100,88,1.41,18.62,-100.35,2018-09-11 05:27:15.000000+00:00 (UTC)
345,coquimbo,CL,51.8,93,90,2.24,-29.95,-71.34,2018-09-11 04:00:00.000000+00:00 (UTC)
346,batagay-alyta,RU,34.71,75,0,3.76,67.8,130.41,2018-09-11 05:27:16.000000+00:00 (UTC)
347,beloha,MG,67.83,95,20,12.48,-25.17,45.06,2018-09-11 05:27:17.000000+00:00 (UTC)
348,bireun,ID,79.44,100,68,4.99,5.2,96.7,2018-09-11 05:27:18.000000+00:00 (UTC)
349,petropavlovsk-kamchatskiy,RU,57.2,54,40,15.66,53.05,158.65,2018-09-11 04:30:00.000000+00:00 (UTC)
350,hamilton,CA,62.6,100,90,3.36,43.26,-79.87,2018-09-11 05:00:00.000000+00:00 (UTC)
351,xiaoweizhai,CN,66.12,92,92,3.42,26.23,107.51,2018-09-11 05:27:20.000000+00:00 (UTC)
352,zeya,RU,52.89,80,92,2.98,53.74,127.27,2018-09-11 05:27:20.000000+00:00 (UTC)
353,la peca,PE,63.06,98,64,0.74,-5.61,-78.44,2018-09-11 05:27:21.000000+00:00 (UTC)
354,maraa,BR,75.21,94,20,2.86,-1.83,-65.37,2018-09-11 05:27:21.000000+00:00 (UTC)
355,zlitan,LY,74.94,95,0,2.98,32.47,14.57,2018-09-11 05:27:22.000000+00:00 (UTC)
356,caravelas,BR,73.86,100,56,9.13,-17.73,-39.27,2018-09-11 05:24:45.000000+00:00 (UTC)
357,ereymentau,KZ,50.19,50,0,9.35,51.62,73.1,2018-09-11 05:27:23.000000+00:00 (UTC)
358,gamba,CN,44.61,88,12,2.75,28.28,88.52,2018-09-11 05:27:23.000000+00:00 (UTC)
359,abaete,BR,60.36,62,8,4.76,-19.16,-45.45,2018-09-11 05:27:24.000000+00:00 (UTC)
360,todos santos,MX,82.4,88,40,9.8,23.45,-110.23,2018-09-11 04:42:00.000000+00:00 (UTC)
361,cherskiy,RU,57.75,47,76,7.67,68.75,161.3,2018-09-11 05:27:25.000000+00:00 (UTC)
362,baruun-urt,MN,65.31,53,0,25.12,46.68,113.28,2018-09-11 05:27:25.000000+00:00 (UTC)
363,metro,ID,85.74,80,12,7.0,-5.11,105.31,2018-09-11 05:27:26.000000+00:00 (UTC)
364,taltal,CL,49.11,91,0,1.19,-25.41,-70.49,2018-09-11 05:27:26.000000+00:00 (UTC)
365,ojinaga,US,61.62,71,0,3.2,29.56,-104.41,2018-09-11 05:27:27.000000+00:00 (UTC)
366,marienburg,DE,62.6,72,75,8.05,52.12,9.98,2018-09-11 04:50:00.000000+00:00 (UTC)
367,kavaratti,IN,81.51,100,56,9.57,10.57,72.64,2018-09-11 05:27:28.000000+00:00 (UTC)
368,bathsheba,BB,82.4,74,40,13.87,13.22,-59.52,2018-09-11 05:00:00.000000+00:00 (UTC)
369,beyneu,KZ,76.65,26,0,7.45,45.32,55.19,2018-09-11 05:27:29.000000+00:00 (UTC)
370,algiers,US,78.98,100,1,5.66,29.94,-90.04,2018-09-11 05:15:00.000000+00:00 (UTC)
371,lazarev,RU,62.16,67,12,10.8,52.23,141.51,2018-09-11 05:27:30.000000+00:00 (UTC)
372,gusau,NG,65.58,93,24,1.41,12.17,6.66,2018-09-11 05:27:00.000000+00:00 (UTC)
373,oume,CI,73.4,100,75,4.7,6.38,-5.42,2018-09-11 05:00:00.000000+00:00 (UTC)
374,aklavik,CA,30.2,74,90,6.93,68.22,-135.01,2018-09-11 05:00:00.000000+00:00 (UTC)
375,romny,UA,64.41,91,8,8.34,50.74,33.49,2018-09-11 05:27:32.000000+00:00 (UTC)
376,paamiut,GL,39.03,100,92,15.5,61.99,-49.67,2018-09-11 05:27:33.000000+00:00 (UTC)
377,bandarbeyla,SO,73.59,79,0,21.88,9.49,50.81,2018-09-11 05:27:33.000000+00:00 (UTC)
378,portales,US,65.12,93,1,5.82,34.19,-103.33,2018-09-11 04:56:00.000000+00:00 (UTC)
379,broken hill,AU,76.74,30,0,22.77,-31.97,141.45,2018-09-11 05:27:35.000000+00:00 (UTC)
380,lewistown,US,57.92,94,1,2.3,40.39,-90.15,2018-09-11 05:15:00.000000+00:00 (UTC)
381,benghazi,LY,79.8,100,0,9.8,32.12,20.07,2018-09-11 05:27:36.000000+00:00 (UTC)
382,deniliquin,AU,71.52,66,0,13.49,-35.53,144.96,2018-09-11 05:27:36.000000+00:00 (UTC)
383,yukhnov,RU,65.94,52,36,6.33,54.74,35.23,2018-09-11 05:27:37.000000+00:00 (UTC)
384,ulladulla,AU,71.6,49,0,17.22,-35.36,150.48,2018-09-11 04:00:00.000000+00:00 (UTC)
385,kemin,KG,62.88,43,68,2.42,42.79,75.7,2018-09-11 05:27:38.000000+00:00 (UTC)
386,bohodukhiv,UA,62.6,55,0,11.18,50.16,35.52,2018-09-11 05:00:00.000000+00:00 (UTC)
387,abu dhabi,AE,91.4,41,0,16.11,24.47,54.37,2018-09-11 04:27:00.000000+00:00 (UTC)
388,baykit,RU,50.37,87,92,9.13,61.68,96.39,2018-09-11 05:27:39.000000+00:00 (UTC)
389,teya,MX,75.2,94,5,6.93,21.05,-89.07,2018-09-11 04:48:00.000000+00:00 (UTC)
390,erdaojiang,CN,68.46,64,44,4.21,41.78,126.03,2018-09-11 05:27:40.000000+00:00 (UTC)
391,ixtapa,MX,80.6,100,75,0.51,20.71,-105.21,2018-09-11 04:43:00.000000+00:00 (UTC)
392,lima,PE,55.41,72,44,2.42,-12.06,-77.04,2018-09-11 05:27:41.000000+00:00 (UTC)
393,benavente,PT,71.6,56,0,6.93,38.98,-8.82,2018-09-11 05:00:00.000000+00:00 (UTC)
394,acari,BR,67.74,84,0,11.81,-6.44,-36.64,2018-09-11 05:27:15.000000+00:00 (UTC)
395,ivdel,RU,53.07,73,20,8.12,60.7,60.42,2018-09-11 05:27:43.000000+00:00 (UTC)
396,phibun mangsahan,TH,87.8,66,75,5.82,15.24,105.23,2018-09-11 05:00:00.000000+00:00 (UTC)
397,kamennogorsk,RU,53.6,93,90,5.82,60.95,29.13,2018-09-11 04:50:00.000000+00:00 (UTC)
398,santa teresa,VE,78.8,83,40,1.12,10.26,-66.69,2018-09-11 05:00:00.000000+00:00 (UTC)
399,bajram curri,AL,69.8,46,0,8.05,42.36,20.08,2018-09-11 05:00:00.000000+00:00 (UTC)
400,ranong,TH,86.0,79,40,9.17,9.96,98.62,2018-09-11 05:00:00.000000+00:00 (UTC)
401,parrita,CR,66.2,93,0,3.36,9.52,-84.33,2018-09-11 05:00:00.000000+00:00 (UTC)
402,gornopravdinsk,RU,46.32,64,20,6.67,60.06,69.92,2018-09-11 05:27:46.000000+00:00 (UTC)
403,jardim,BR,67.11,50,0,7.45,-21.48,-56.15,2018-09-11 05:27:47.000000+00:00 (UTC)
404,zemio,CF,67.74,100,88,3.65,5.02,25.13,2018-09-11 05:27:48.000000+00:00 (UTC)
405,roswell,US,69.98,73,1,5.82,33.39,-104.52,2018-09-11 04:55:00.000000+00:00 (UTC)
406,taraz,KZ,68.0,32,0,4.47,42.89,71.39,2018-09-11 04:30:00.000000+00:00 (UTC)
407,montepuez,MZ,70.35,71,68,12.37,-13.13,39.0,2018-09-11 05:27:49.000000+00:00 (UTC)
408,wakkanai,JP,62.6,67,20,9.17,45.41,141.67,2018-09-11 04:00:00.000000+00:00 (UTC)
409,takapau,NZ,48.39,76,88,10.25,-40.02,176.35,2018-09-11 05:27:50.000000+00:00 (UTC)
410,asmar,AF,83.04,36,0,2.64,35.03,71.36,2018-09-11 05:27:51.000000+00:00 (UTC)
411,puerto boyaca,CO,75.93,86,20,2.42,5.98,-74.59,2018-09-11 05:27:51.000000+00:00 (UTC)
412,busayra,JO,72.96,68,0,2.53,30.74,35.61,2018-09-11 05:27:52.000000+00:00 (UTC)
413,kiruna,SE,51.8,93,90,9.17,67.86,20.23,2018-09-11 04:50:00.000000+00:00 (UTC)
414,waynesville,US,60.62,93,1,2.19,37.83,-92.2,2018-09-11 04:56:00.000000+00:00 (UTC)
415,verkhnyaya inta,RU,43.98,91,88,7.11,65.99,60.32,2018-09-11 05:27:53.000000+00:00 (UTC)
416,san francisco del mar,MX,83.31,95,56,5.66,16.34,-94.51,2018-09-11 05:27:53.000000+00:00 (UTC)
417,palmer,AU,62.6,51,75,23.04,-34.85,139.16,2018-09-11 05:00:00.000000+00:00 (UTC)
418,college,US,51.98,74,1,2.98,64.86,-147.8,2018-09-11 04:58:00.000000+00:00 (UTC)
419,ligayan,PH,84.21,100,12,12.26,4.65,119.47,2018-09-11 05:27:55.000000+00:00 (UTC)
420,pundaguitan,PH,86.37,92,24,5.88,6.37,126.17,2018-09-11 05:27:55.000000+00:00 (UTC)
421,ambon,FR,50.0,100,90,2.24,47.55,-2.56,2018-09-11 05:00:00.000000+00:00 (UTC)
422,honningsvag,NO,55.4,76,20,11.59,70.98,25.97,2018-09-11 04:50:00.000000+00:00 (UTC)
423,horsham,AU,68.82,59,36,21.65,-36.71,142.2,2018-09-11 05:27:13.000000+00:00 (UTC)
424,kasongo-lunda,CD,67.83,96,12,3.2,-6.48,16.82,2018-09-11 05:27:57.000000+00:00 (UTC)
425,nelson bay,AU,69.8,56,0,12.75,-32.72,152.14,2018-09-11 05:00:00.000000+00:00 (UTC)
426,malazgirt,TR,57.2,62,40,2.24,39.15,42.54,2018-09-11 04:50:00.000000+00:00 (UTC)
427,patu,BR,75.48,65,0,11.03,-6.1,-37.64,2018-09-11 05:27:59.000000+00:00 (UTC)
428,ketchikan,US,55.04,92,20,1.19,55.34,-131.65,2018-09-11 04:56:00.000000+00:00 (UTC)
429,sheridan,US,73.04,31,20,17.22,39.65,-105.03,2018-09-11 04:58:00.000000+00:00 (UTC)
430,okhotsk,RU,48.66,100,76,4.65,59.36,143.24,2018-09-11 05:28:00.000000+00:00 (UTC)
431,santa rita do passa quatro,BR,61.71,65,0,7.67,-21.71,-47.48,2018-09-11 05:28:00.000000+00:00 (UTC)
432,eyl,SO,80.7,72,0,20.65,7.98,49.82,2018-09-11 05:28:01.000000+00:00 (UTC)
433,hualmay,PE,52.44,90,32,4.76,-11.1,-77.61,2018-09-11 05:24:40.000000+00:00 (UTC)
434,pucallpa,PE,78.8,88,40,1.63,-8.38,-74.54,2018-09-11 05:00:00.000000+00:00 (UTC)
435,olinda,EC,71.6,83,75,11.41,-2.03,-79.75,2018-09-11 05:00:00.000000+00:00 (UTC)
436,arawa,NG,73.41,98,100,3.42,7.05,3.9,2018-09-11 05:28:03.000000+00:00 (UTC)
437,pamyat parizhskoy kommuny,RU,53.6,76,20,4.47,56.1,44.5,2018-09-11 04:30:00.000000+00:00 (UTC)
438,boa vista,BR,72.33,94,24,4.21,2.82,-60.67,2018-09-11 05:28:05.000000+00:00 (UTC)
439,aksha,RU,60.0,90,8,2.19,50.28,113.29,2018-09-11 05:28:05.000000+00:00 (UTC)
440,atar,MR,81.69,40,20,4.21,20.52,-13.05,2018-09-11 05:28:06.000000+00:00 (UTC)
441,nara,JP,80.6,61,75,9.17,34.68,135.8,2018-09-11 04:30:00.000000+00:00 (UTC)
442,berdigestyakh,RU,45.42,57,0,6.67,62.1,126.7,2018-09-11 05:28:06.000000+00:00 (UTC)
443,simi valley,US,73.04,78,90,1.97,34.27,-118.78,2018-09-11 05:09:00.000000+00:00 (UTC)
444,saint-augustin,FR,57.2,93,0,2.42,44.83,-0.61,2018-09-11 05:00:00.000000+00:00 (UTC)
445,qaqortoq,GL,41.0,97,48,13.87,60.72,-46.03,2018-09-11 04:50:00.000000+00:00 (UTC)
446,dangriga,BZ,80.7,96,8,2.19,16.97,-88.23,2018-09-11 05:26:13.000000+00:00 (UTC)
447,mehran,IR,78.8,24,0,2.24,33.12,46.17,2018-09-11 04:30:00.000000+00:00 (UTC)
448,sheltozero,RU,54.06,100,88,10.47,61.37,35.37,2018-09-11 05:28:09.000000+00:00 (UTC)
449,mitzic,GA,71.34,97,92,2.75,0.78,11.55,2018-09-11 05:28:09.000000+00:00 (UTC)
450,san jose,PH,83.13,83,32,3.2,15.79,120.99,2018-09-11 05:28:11.000000+00:00 (UTC)
451,mildura,AU,75.84,43,0,21.09,-34.18,142.16,2018-09-11 05:25:15.000000+00:00 (UTC)
452,port macquarie,AU,68.0,60,0,14.99,-31.43,152.91,2018-09-11 05:00:00.000000+00:00 (UTC)
453,washougal,US,64.04,77,75,2.53,45.58,-122.35,2018-09-11 04:53:00.000000+00:00 (UTC)
454,riyadh,SA,86.0,33,0,4.65,24.63,46.72,2018-09-11 04:00:00.000000+00:00 (UTC)
455,bilma,NE,80.43,26,88,3.2,18.69,12.92,2018-09-11 05:28:14.000000+00:00 (UTC)
456,licata,IT,69.8,88,0,4.7,37.11,13.95,2018-09-11 05:00:00.000000+00:00 (UTC)
457,burnie,AU,57.03,88,8,16.06,-41.05,145.91,2018-09-11 05:24:19.000000+00:00 (UTC)
458,zhigalovo,RU,57.48,68,56,5.21,54.81,105.15,2018-09-11 05:28:15.000000+00:00 (UTC)
459,chifeng,CN,66.66,63,20,13.27,42.27,118.96,2018-09-11 05:28:16.000000+00:00 (UTC)
460,san buenaventura,MX,66.75,99,100,2.86,27.06,-101.55,2018-09-11 05:28:16.000000+00:00 (UTC)
461,miraflores,CO,45.69,100,80,1.3,5.2,-73.14,2018-09-11 05:28:17.000000+00:00 (UTC)
462,portoferraio,IT,69.8,64,5,10.58,42.81,10.31,2018-09-11 04:55:00.000000+00:00 (UTC)
463,dehloran,IR,94.47,23,0,4.43,32.69,47.27,2018-09-11 05:28:18.000000+00:00 (UTC)
464,lakatoro,VU,76.38,82,76,9.8,-16.11,167.42,2018-09-11 05:23:39.000000+00:00 (UTC)
465,husavik,CA,54.51,86,0,6.33,50.56,-96.99,2018-09-11 05:24:47.000000+00:00 (UTC)
466,sokoni,CD,68.37,56,0,8.23,-12.89,28.78,2018-09-11 05:28:19.000000+00:00 (UTC)
467,kijang,KR,75.2,57,75,20.8,35.24,129.21,2018-09-11 05:00:00.000000+00:00 (UTC)
468,sistranda,NO,51.8,87,40,12.75,63.73,8.83,2018-09-11 04:50:00.000000+00:00 (UTC)
469,zunyi,CN,61.89,100,100,5.44,27.73,106.92,2018-09-11 05:28:20.000000+00:00 (UTC)
470,xinmin,CN,77.0,50,0,8.95,42.0,122.83,2018-09-11 04:30:00.000000+00:00 (UTC)
471,seybaplaya,MX,75.2,94,90,9.46,19.65,-90.67,2018-09-11 05:11:00.000000+00:00 (UTC)
472,ploemeur,FR,60.8,100,90,6.78,47.73,-3.43,2018-09-11 05:00:00.000000+00:00 (UTC)
473,gibara,CU,77.0,94,5,5.82,21.11,-76.13,2018-09-11 04:50:00.000000+00:00 (UTC)
474,zyryanka,RU,51.99,53,68,7.23,65.73,150.89,2018-09-11 05:28:24.000000+00:00 (UTC)
475,viedma,AR,52.26,86,76,12.71,-40.81,-62.99,2018-09-11 05:23:53.000000+00:00 (UTC)
476,trairi,BR,79.26,98,0,26.57,-3.28,-39.27,2018-09-11 05:25:39.000000+00:00 (UTC)
477,kasempa,ZM,69.0,54,24,9.24,-13.46,25.83,2018-09-11 05:28:25.000000+00:00 (UTC)
478,mitu,IR,77.55,25,0,2.86,36.2,46.09,2018-09-11 05:28:26.000000+00:00 (UTC)
479,saint-francois,FR,51.8,93,0,2.75,46.42,3.91,2018-09-11 05:00:00.000000+00:00 (UTC)
480,tumut,AU,62.16,66,0,4.76,-35.3,148.22,2018-09-11 05:28:27.000000+00:00 (UTC)
481,serebriya,UA,58.38,96,88,12.03,48.46,27.72,2018-09-11 05:28:27.000000+00:00 (UTC)
482,te anau,NZ,49.83,82,8,2.42,-45.41,167.72,2018-09-11 05:24:21.000000+00:00 (UTC)
483,kuopio,FI,53.6,100,90,11.41,62.89,27.68,2018-09-11 04:50:00.000000+00:00 (UTC)
